iter	Accuracy	MultiClass
66	0.5762587038	1.040891709
67	0.5771458222	1.039203012
68	0.5782840118	1.037570042
69	0.5794054633	1.036347225
70	0.5798239154	1.03516371
71	0.5798071773	1.034539659
72	0.580158677	1.03354303
73	0.5806942957	1.032806661
74	0.5814642475	1.031154086
75	0.5822509373	1.029420791
76	0.5833556508	1.027584462
77	0.5855148634	1.025426877
78	0.5868204339	1.023300553
79	0.5880925281	1.021801848
80	0.5886616229	1.02089483
81	0.5896491698	1.019257092
82	0.5907873594	1.017454949
83	0.5917581682	1.01577041
84	0.5918585967	1.015047248
85	0.5926118104	1.01309073
86	0.592728977	1.012835037
87	0.5934487145	1.011354822
88	0.5938336904	1.009925554
89	0.5956748795	1.008898772
90	0.5961100696	1.007575536
91	0.5970808784	1.006078663
92	0.5970474022	1.005651957
93	0.5976834494	1.004290189
94	0.5986877343	1.002996528
95	0.5999430905	1.001134674
96	0.6005289234	0.9995749318
97	0.6011314944	0.9987012063
98	0.6020855651	0.9972777061
99	0.6021859936	0.9958164024
100	0.6033409213	0.9946542039
101	0.6042280396	0.9932660484
102	0.6049310391	0.9919191078
103	0.6052155865	0.9905208298
104	0.6064374665	0.9887719484
105	0.6067889663	0.9873693959
106	0.6069563471	0.9867345956
107	0.6070400375	0.9859360443
108	0.60754218	0.9844075803
109	0.6079104178	0.9841674619
110	0.6083790841	0.9829980623
111	0.6089314408	0.9818543762
112	0.6099524638	0.9803876981
113	0.6104378682	0.979113766
114	0.6107726299	0.9779805417
115	0.61120782	0.9770302901
116	0.6119275576	0.9757005997
117	0.6120949384	0.9750169031
118	0.612412962	0.9745825116
119	0.6125636047	0.9742480025
120	0.6129820568	0.9738034537
121	0.6135344135	0.9724551846
122	0.6138524371	0.971406422
123	0.6140532941	0.9708996165
124	0.6149906267	0.9698012863
125	0.6157271023	0.9685917742
126	0.6163296733	0.9668835608
127	0.6167983396	0.9659987521
128	0.6180034815	0.9646326154
129	0.6184554097	0.963208464
130	0.6183549813	0.9627336489
131	0.6189575522	0.9618686396
132	0.6195099089	0.9607670201
133	0.6198111944	0.9597874176
134	0.6205476701	0.9593058067
135	0.620932646	0.9581744768
136	0.6217862882	0.956654991
137	0.6225227638	0.9553222823
138	0.6228240493	0.9548486349
139	0.6233094537	0.953470137
140	0.6240626674	0.9522051169
141	0.625	0.9510261297
142	0.625803428	0.949636603
143	0.6261214515	0.9487557716
144	0.6263557847	0.9482928023
145	0.626824451	0.9471364367
146	0.6276613551	0.9462463445
147	0.6280798072	0.9455805499
148	0.6283643546	0.9447151416
149	0.6292849491	0.9435831931
150	0.630071639	0.9425259034
151	0.6310257097	0.9416988554
152	0.6318123996	0.9408646353
153	0.632096947	0.9402067264
154	0.6323647563	0.9390397396
155	0.6326827799	0.9380108196
156	0.6327664703	0.9374457111
157	0.6332686127	0.9364170886
158	0.6342226834	0.934968015
159	0.6350428495	0.9337866753
160	0.6356454205	0.9328514107
161	0.6354445635	0.9324843489
162	0.636164301	0.9319096658
163	0.6368505624	0.9310583103
164	0.637369443	0.9304159563
165	0.6378046331	0.9294253449
166	0.6383067756	0.9283475185
167	0.6388089181	0.9272068505
168	0.6391604178	0.9261606406
169	0.6394282271	0.925232531
170	0.6399136315	0.9241854005
171	0.6401814408	0.9234404098
172	0.6403488216	0.9230598103
